"ID";"TPUName";"global_id";"AdmArea";"District";"NearStation";"YearOfComissioning";"Status";"AvailableTransfer";"CarCapacity";"geoData";
"96";"Транспортно-пересадочный узел «Сортировочная» (п)";"1769845";"Юго-Восточный административный округ";"район Лефортово";"платформа «Сортировочная»";"2014";"проект";"пригородная железная дорога";"";"{type=Point, coordinates=[37.720353256895, 55.764079610509]}";
"97";"Транспортно-пересадочный узел «Фрезер» (п)";"1769846";"Юго-Восточный административный округ";"Нижегородский район";"платформа «Фрезер»";"2014";"построен";"пригородная железная дорога";"45";"{type=Point, coordinates=[37.738276478479, 55.745110991584]}";
"98";"Транспортно-пересадочный узел «Чухлинка» (п)";"1769847";"Юго-Восточный административный округ";"Рязанский район";"платформа «Чухлинка»";"2014";"построен";"пригородная железная дорога";"";"{type=Point, coordinates=[37.764118656515, 55.733620469968]}";
"99";"Транспортно-пересадочный узел «Братиславская» (п)";"1769848";"Юго-Восточный административный округ";"район Марьино";"станция метро «Братиславская»";"2015";"построен";"метро; перехватывающая парковка";"320";"{type=Point, coordinates=[37.750696290051, 55.659640933555]}";
"100";"Транспортно-пересадочный узел «Волжская» (п)";"1769849";"Юго-Восточный административный округ";"район Люблино";"станция метро «Волжская»";"2014";"построен";"метро; перехватывающая парковка";"240";"{type=Point, coordinates=[37.755893879403, 55.690307373337]}";
"101";"Транспортно-пересадочный узел «Депо» (п)";"1769850";"Юго-Восточный административный округ";"район Печатники";"платформа «Депо»";"2014";"построен";"пригородная железная дорога";"45";"{type=Point, coordinates=[37.727992718718, 55.674043644599]}";
"102";"Транспортно-пересадочный узел «Дубровка» (п)";"1769851";"Юго-Восточный административный округ";"Южнопортовый район";"станция метро «Дубровка»";"2014";"проект";"метро";"";"{type=Point, coordinates=[37.676981310387, 55.717923102594]}";
"103";"Транспортно-пересадочный узел «Калитники» (п)";"1769852";"Юго-Восточный административный округ";"Нижегородский район";"платформа «Калитники»";"2014";"построен";"пригородная железная дорога";"";"{type=Point, coordinates=[37.702003415502, 55.734379763946]}";
"104";"Транспортно-пересадочный узел «Карачарово» (п)";"1769853";"Юго-Восточный административный округ";"Нижегородский район";"платформа «Карачарово»";"2014";"построен";"пригородная железная дорога";"";"{type=Point, coordinates=[37.739594461511, 55.732351042538]}";
"105";"Транспортно-пересадочный узел «Кожуховская» (п)";"1769854";"Юго-Восточный административный округ";"Южнопортовый район";"станция метро «Кожуховская»";"2014";"построен";"метро; перехватывающая парковка";"120";"{type=Point, coordinates=[37.68545068887, 55.706533523954]}";
"106";"Транспортно-пересадочный узел «Люблино» (п) (3)";"1769855";"Юго-Восточный административный округ";"район Печатники";"платформа «Люблино»";"2014";"построен";"пригородная железная дорога";"85";"{type=Point, coordinates=[37.733810000089, 55.685116000029]}";
"107";"Транспортно-пересадочный узел «Марьино» (к)";"1769856";"Юго-Восточный административный округ";"район Марьино";"станция метро «Марьино»";"2018";"проект";"Метро; перехватывающая парковка";"230";"{type=Point, coordinates=[37.744333999899, 55.650510000027]}";
"108";"Транспортно-пересадочный узел «Москва-Товарная-Павелецкая» (п)";"1769857";"Южный административный округ";"Даниловский район";"платформа «Москва-Товарная-Павелецкая»";"2014";"построен";"пригородная железная дорога";"";"{type=Point, coordinates=[37.643409867746, 55.717730529193]}";
"109";"Транспортно-пересадочный узел «Перерва» (п)";"1769858";"Юго-Восточный административный округ";"район Печатники";"платформа «Перерва»";"2014";"построен";"пригородная железная дорога";"113";"{type=Point, coordinates=[37.71757268363, 55.661816639065]}";
"110";"Транспортно-пересадочный узел «Печатники» (п)";"1769859";"Юго-Восточный административный округ";"район Печатники";"станция метро «Печатники»";"2015";"построен";"метро; перехватывающая парковка";"160";"{type=Point, coordinates=[37.727549594161, 55.693036631003]}";
"111";"Транспортно-пересадочный узел «Плющево» (п)";"1769860";"Юго-Восточный административный округ";"Рязанский район";"платформа «Плющево»";"2014";"проект";"пригородная железная дорога";"";"{type=Point, coordinates=[37.774168714165, 55.730588509651]}";
"112";"Транспортно-пересадочный узел «Профсоюзная» (п)";"1769861";"Юго-Западный административный округ";"Академический район";"станция метро «Профсоюзная»";"2015";"построен";"метро; перехватывающая парковка";"500";"{type=Point, coordinates=[37.563619002403, 55.678179794906]}";
"113";"Транспортно-пересадочный узел «Севастопольская»";"1769862";"Юго-Западный административный округ";"район Зюзино";"станция метро «Севастопольская»";"2014";"построен";"метро";"110";"{type=Point, coordinates=[37.598369121833, 55.651563145129]}";
"114";"Транспортно-пересадочный узел «Улица Скобелевская» (п)";"1769863";"Юго-Западный административный округ";"район Южное Бутово";"станция метро «Улица Скобелевская»";"2014";"построен";"метро";"80";"{type=Point, coordinates=[37.554059028741, 55.547978694352]}";
"115";"Транспортно-пересадочный узел «Улица Горчакова» (п)";"1769864";"Юго-Западный административный округ";"район Южное Бутово";"станция метро «Улица Горчакова»";"2014";"построен";"метро";"52";"{type=Point, coordinates=[37.531930344155, 55.542003977384]}";
"116";"Транспортно-пересадочный узел «Академическая» (п)";"1769865";"Юго-Западный административный округ";"Академический район";"станция метро «Академическая»";"2015";"построен";"метро; перехватывающая парковка";"260";"{type=Point, coordinates=[37.573083937002, 55.687492147998]}";
"117";"Транспортно-пересадочный узел «Беляево» (п)";"1769866";"Юго-Западный административный округ";"район Коньково";"станция метро «Беляево»";"2015";"построен";"метро; перехватывающая парковка";"275";"{type=Point, coordinates=[37.525107264077, 55.642288131956]}";
"118";"Транспортно-пересадочный узел «Бульвар адмирала Ушакова» (п)";"1769867";"Юго-Западный административный округ";"район Южное Бутово";"станция метро «Бульвар адмирала Ушакова»";"2014";"построен";"метро";"95";"{type=Point, coordinates=[37.545148649319, 55.545123200127]}";
"119";"Транспортно-пересадочный узел «Бунинская аллея» (п)";"1769868";"Юго-Западный административный округ";"район Южное Бутово";"станция метро «Бунинская аллея»";"2014";"проект";"метро";"";"{type=Point, coordinates=[37.514704642831, 55.537715657006]}";
"120";"Транспортно-пересадочный узел «Бутово» (п)";"1769869";"Юго-Западный административный округ";"район Южное Бутово";"платформа «Бутово»";"2014";"построен";"пригородная железная дорога";"50";"{type=Point, coordinates=[37.570690404674, 55.541704420575]}";
"121";"Транспортно-пересадочный узел «Калужская» (п)";"1769870";"Юго-Западный административный округ";"Обручевский район";"станция метро «Калужская»";"2015";"построен";"метро; перехватывающая парковка";"121";"{type=Point, coordinates=[37.541136860397, 55.65801065706]}";
"67";"Транспортно-пересадочный узел «Достоевская» (п)";"1769871";"Центральный административный округ";"Тверской район";"станция метро «Достоевская»";"2014";"построен";"метро";"";"{type=Point, coordinates=[37.612037337427, 55.781305766613]}";
"68";"Транспортно-пересадочный узел «Китай-город» (п)";"1769872";"Центральный административный округ";"Тверской район";"станция метро «Китай-город»";"2014";"построен";"метро";"10";"{type=Point, coordinates=[37.630689409811, 55.757086974263]}";
"69";"Транспортно-пересадочный узел «Краснопресненская» (п)";"1769873";"Центральный административный округ";"Пресненский район";"станция метро «Краснопресненская»";"2014";"построен";"метро";"83";"{type=Point, coordinates=[37.577201911283, 55.760700959747]}";
"70";"Транспортно-пересадочный узел «Красносельская» (п)";"1769874";"Центральный административный округ";"Красносельский район";"станция метро «Красносельская»";"2014";"построен";"метро";"";"{type=Point, coordinates=[37.665968007225, 55.779903750855]}";
"71";"Транспортно-пересадочный узел «Красные ворота» (п)";"1769875";"Центральный административный округ";"Басманный район";"станция метро «Красные ворота»";"2014";"построен";"метро";"52";"{type=Point, coordinates=[37.64811892989, 55.768437178473]}";
"72";"Транспортно-пересадочный узел «Лубянка» (п)";"1769876";"Центральный административный округ";"Тверской район";"станция метро «Лубянка»";"2014";"построен";"метро";"";"{type=Point, coordinates=[37.627551999664, 55.759163000131]}";
"73";"Транспортно-пересадочный узел «Лужники» (п)";"1769877";"Центральный административный округ";"район Хамовники";"станция метро «Спортивная»";"2014";"построен";"метро; московская кольцевая железная дорога";"";"{type=Point, coordinates=[37.561913000169, 55.722176000094]}";
"74";"Транспортно-пересадочный узел «Маяковская» (п)";"1769878";"Центральный административный округ";"Тверской район";"станция метро «Маяковская»";"2014";"построен";"метро";"";"{type=Point, coordinates=[37.596465999581, 55.769332999827]}";
"75";"Транспортно-пересадочный узел «Новокузнецкая» (п)";"1769879";"Центральный административный округ";"район Замоскворечье";"станция метро «Новокузнецкая»";"2014";"построен";"метро";"";"{type=Point, coordinates=[37.628731533446, 55.742259637125]}";
"76";"Транспортно-пересадочный узел «Новослободская» (п)";"1769880";"Центральный административный округ";"Тверской район";"станция метро «Новослободская»";"2014";"построен";"метро";"39";"{type=Point, coordinates=[37.600518160589, 55.780175380754]}";
"77";"Транспортно-пересадочный узел «Октябрьская» (п)";"1769881";"Центральный административный округ";"район Якиманка";"станция метро «Октябрьская»";"2014";"построен";"метро";"";"{type=Point, coordinates=[37.611616506361, 55.729406953381]}";
"78";"Транспортно-пересадочный узел «Охотный ряд» (п)";"1769882";"Центральный административный округ";"Тверской район";"станция метро «Охотный ряд»";"2014";"построен";"метро";"";"{type=Point, coordinates=[37.616356075292, 55.757917598646]}";
"79";"Транспортно-пересадочный узел «Парк Культуры» (п)";"1769883";"Центральный административный округ";"район Хамовники";"станция метро «Парк культуры»";"2014";"построен";"метро";"44";"{type=Point, coordinates=[37.593575864191, 55.7352559297]}";
"80";"Транспортно-пересадочный узел «Полянка» (п)";"1769884";"Центральный административный округ";"район Якиманка";"станция метро «Полянка»";"2014";"построен";"метро";"";"{type=Point, coordinates=[37.6183880456, 55.736807785719]}";
"81";"Транспортно-пересадочный узел «Тульская» (п)";"1769885";"Южный административный округ";"Даниловский район";"станция метро «Тульская»";"2014";"построен";"метро";"257";"{type=Point, coordinates=[37.622469840233, 55.708593464755]}";
"82";"Транспортно-пересадочный узел «Улица Академика Янгеля» (п)";"1769886";"Южный административный округ";"район Чертаново Южное";"станция метро «Улица Академика Янгеля»";"2015";"построен";"метро; перехватывающая парковка; автовокзал";"410";"{type=Point, coordinates=[37.600927276726, 55.596369564297]}";
"83";"Транспортно-пересадочный узел «Чертаново» (п)";"1769887";"Южный административный округ";"район Царицыно";"платформа «Чертаново»";"2014";"построен";"пригородная железная дорога";"117";"{type=Point, coordinates=[37.627487552729, 55.630853198989]}";
"84";"Транспортно-пересадочный узел «Чертановская» (п)";"1769888";"Южный административный округ";"район Чертаново Северное";"станция метро «Чертановская»";"2014";"построен";"метро";"294";"{type=Point, coordinates=[37.605099175974, 55.64068826316]}";
"85";"Транспортно-пересадочный узел «Шаболовская» (п)";"1769889";"Южный административный округ";"Донской район";"станция метро «Шаболовская»";"2014";"проект";"метро";"";"{type=Point, coordinates=[37.608272657073, 55.718785377144]}";
"86";"Транспортно-пересадочный узел «Шипиловская» (п)";"1769890";"Южный административный округ";"район Зябликово";"станция метро «Шипиловская»";"2014";"построен";"метро; перехватывающая парковка";"230";"{type=Point, coordinates=[37.743941849345, 55.620087867281]}";
"87";"Транспортно-пересадочный узел «Южная» (п)";"1769891";"Южный административный округ";"район Чертаново Северное";"станция метро «Южная»";"2014";"проект";"метро; перехватывающая парковка";"200";"{type=Point, coordinates=[37.609249955831, 55.62211856613]}";
"88";"Транспортно-пересадочный узел «Автозаводская» (п)";"1769892";"Южный административный округ";"Даниловский район";"станция метро «Автозаводская»";"2014";"построен";"метро; московская кольцевая железная дорога";"";"{type=Point, coordinates=[37.657222151552, 55.706949489906]}";
"89";"Транспортно-пересадочный узел «Борисово» (п)";"1769893";"Южный административный округ";"район Братеево";"станция метро «Борисово»";"2014";"построен";"метро; перехватывающая парковка";"500";"{type=Point, coordinates=[37.744182259176, 55.633381539122]}";
"90";"Транспортно-пересадочный узел «Кантемировская» (п)";"1769894";"Южный административный округ";"район Царицыно";"станция метро «Кантемировская»";"2015";"построен";"метро; перехватывающая парковка";"220";"{type=Point, coordinates=[37.656056711439, 55.636943528985]}";
"91";"Транспортно-пересадочный узел «Каширская» (п)";"1769895";"Южный административный округ";"район Нагатино-Садовники";"станция метро «Каширская»";"2015";"построен";"метро; перехватывающая парковка";"500";"{type=Point, coordinates=[37.649587025, 55.655381167162]}";
"92";"Транспортно-пересадочный узел «Коломенская» (п)";"1769896";"Южный административный округ";"район Нагатинский Затон";"станция метро «Коломенская»";"2014";"построен";"метро";"";"{type=Point, coordinates=[37.664515647006, 55.677855043785]}";
"93";"Транспортно-пересадочный узел «Красный строитель» (п)";"1769897";"Южный административный округ";"район Чертаново Южное";"платформа «Красный строитель»";"2014";"построен";"пригородная железная дорога";"60";"{type=Point, coordinates=[37.614360999691, 55.589302000081]}";
"94";"Транспортно-пересадочный узел «Нагорная» (п)";"1769898";"Южный административный округ";"Нагорный район";"станция метро «Нагорная»";"2014";"построен";"метро; перехватывающая парковка";"240";"{type=Point, coordinates=[37.610816710212, 55.672819068331]}";
"95";"Транспортно-пересадочный узел «Пражская» (п)";"1769899";"Южный административный округ";"район Чертаново Центральное";"станция метро «Пражская»";"2014";"построен";"метро";"";"{type=Point, coordinates=[37.603265307543, 55.61177268291]}";
"126";"Транспортно-пересадочный узел «Савёловская»";"1769900";"Северо-Восточный административный округ";"Бутырский район";"станция метро «Савёловская»";"2018";"проект";"Метро, станция железной дороги";"35";"{type=Point, coordinates=[37.588090896593, 55.794116312695]}";
"127";"Транспортно-пересадочный узел «Долгопрудная» (п)";"1769901";"Северо-Восточный административный округ";"район Северный";"платформа «Долгопрудная»";"2014";"построен";"пригородная железная дорога";"";"{type=Point, coordinates=[37.52054915124, 55.938808267157]}";
"128";"Транспортно-пересадочный узел «Планерная» (2)";"1769902";"Северный административный округ";"Молжаниновский район";"платформа «Планерная»";"2014";"проект";"пригородная железная дорога";"";"{type=Point, coordinates=[37.38127499997, 55.924802000065]}";
"131";"Транспортно-пересадочный узел «Москва-Товарная-Курская» (п)";"1769905";"Центральный административный округ";"Таганский район";"платформа «Москва Товарная - Курская»";"2014";"построен";"пригородная железная дорога";"110";"{type=Point, coordinates=[37.687934999551, 55.745884000226]}";
"132";"Транспортно-пересадочный узел «Бибирево» (п)";"1769906";"Северо-Восточный административный округ";"район Бибирево";"станция метро «Бибирево»";"2013";"построен";"метро; перехватывающая парковка";"450";"{type=Point, coordinates=[37.603317797003, 55.883976985704]}";
"133";"Транспортно-пересадочный узел «Ясенево» (п)";"1769907";"Юго-Западный административный округ";"район Ясенево";"станция метро «Ясенево»";"2013";"построен";"метро; перехватывающая парковка";"200";"{type=Point, coordinates=[37.533657251085, 55.606311666568]}";
"134";"Транспортно-пересадочный узел «Лианозово» (п)";"1769908";"Северо-Восточный административный округ";"район Лианозово";"платформа «Лианозово»";"2013";"построен";"пригородная железная дорога";"";"{type=Point, coordinates=[37.552707195393, 55.897850833216]}";
"135";"Транспортно-пересадочный узел «Домодедовская» (п)";"1769909";"Южный административный округ";"район Орехово-Борисово Южное";"станция метро «Домодедовская»";"2013";"построен";"метро; перехватывающая парковка";"180";"{type=Point, coordinates=[37.718187226506, 55.610928320595]}";
"136";"Транспортно-пересадочный узел «Царицыно» (п)";"1769910";"Южный административный округ";"район Царицыно";"станция метро «Царицыно»";"2013";"построен";"метро; пригородная железная дорога; перехватывающая парковка";"470";"{type=Point, coordinates=[37.670055291462, 55.62049785791]}";
"137";"Транспортно-пересадочный узел «Бульвар Дмитрия Донского» (п)";"1769911";"Юго-Западный административный округ";"район Северное Бутово";"станция метро «Бульвар Дмитрия Донского»";"2013";"построен";"метро";"";"{type=Point, coordinates=[37.575803724865, 55.569512681131]}";
"122";"Транспортно-пересадочный узел «Коньково» (п)";"1769912";"Юго-Западный административный округ";"район Тёплый Стан";"станция метро «Коньково»";"2014";"построен";"метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.519366999767, 55.632984000001]}";
"123";"Транспортно-пересадочный узел «Нахимовский проспект» (п)";"1769913";"Юго-Западный административный округ";"район Зюзино";"станция метро «Нахимовский проспект»";"2014";"построен";"метро";"";"{type=Point, coordinates=[37.606791999923, 55.663649000235]}";
"124";"Транспортно-пересадочный узел «Площадь Гагарина» (п)";"1769914";"Юго-Западный административный округ";"Гагаринский район";"станция метро «Ленинский проспект»";"2014";"построен";"метро; московская кольцевая железная дорога";"";"{type=Point, coordinates=[37.584746535265, 55.707143489087]}";
"138";"Транспортно-пересадочный узел «Рязанская» (к)";"1769916";"Юго-Восточный административный округ";"Нижегородский район";"станция метро «Нижегородская улица»";"2020";"проект";"Метро; станция московской кольцевой железной дороги; перехватывающая парковка; станция железной дороги";"500";"{type=Point, coordinates=[37.728285999793, 55.732324000171]}";
"139";"Транспортно-пересадочный узел «Площадь Гагарина» (к)";"1769917";"Юго-Западный административный округ";"Гагаринский район";"станция метро «Ленинский проспект»";"2020";"строится";"Наземный городской пассажирский транспорт, метро";"638";"{type=Point, coordinates=[37.585725999861, 55.70721899979]}";
"144";"Транспортно-пересадочный узел «Кутузово» (к)";"1769922";"Западный административный округ";"район Дорогомилово";"станция метро «Кутузовская»";"2020";"строится";"Наземный городской пассажирский транспорт, метро";"";"{type=Point, coordinates=[37.534126000085, 55.739969000133]}";
"145";"Транспортно-пересадочный узел «Лужники» (к)";"1769923";"Центральный административный округ";"район Хамовники";"станция метро «Спортивная»";"2020";"строится";"Наземный городской пассажирский транспорт, метро";"";"{type=Point, coordinates=[37.559945999615, 55.721112000002]}";
"36";"Транспортно-пересадочный узел «Марьина Роща» (к)";"1769925";"Северо-Восточный административный округ";"район Марьина Роща";"станция метро «Марьина Роща»";"2019";"проект";"Метро; перехватывающая парковка";"190";"{type=Point, coordinates=[37.616006999854, 55.798405999787]}";
"37";"Транспортно-пересадочный узел «Москва 3» (п)";"1769926";"Северо-Восточный административный округ";"Алексеевский район";"платформа «Москва-3»";"2014";"построен";"пригородная железная дорога";"";"{type=Point, coordinates=[37.650169000353, 55.803031999872]}";
"38";"Транспортно-пересадочный узел «Москва-Станколит» (п)";"1769927";"Северо-Восточный административный округ";"район Марьина Роща";"платформа «Москва-Станколит»";"2014";"построен";"пригородная железная дорога";"";"{type=Point, coordinates=[37.59812622816, 55.799336842511]}";
"39";"Транспортно-пересадочный узел «Останкино» (п)";"1769928";"Северо-Восточный административный округ";"район Марфино";"платформа «Останкино»";"2014";"построен";"пригородная железная дорога";"";"{type=Point, coordinates=[37.603257298163, 55.817836094306]}";
"40";"Транспортно-пересадочный узел «Строгино» (п)";"1769929";"Северо-Западный административный округ";"район Строгино";"станция метро «Строгино»";"2014";"построен";"метро; перехватывающая парковка";"700";"{type=Point, coordinates=[37.400315160726, 55.80394431259]}";
"41";"Транспортно-пересадочный узел «Трикотажная» (п)";"1769930";"Северо-Западный административный округ";"район Южное Тушино";"платформа «Трикотажная»";"2014";"построен";"пригородная железная дорога";"20";"{type=Point, coordinates=[37.40006628607, 55.833277787916]}";
"42";"Транспортно-пересадочный узел «Волоколамская» (к) (2)";"1769931";"Северо-Западный административный округ";"район Митино";"станция метро «Волоколамская»";"2018";"проект";"Метро, перехватывающая парковка";"";"{type=Point, coordinates=[37.382034000028, 55.835507999971]}";
"43";"Транспортно-пересадочный узел «Митино» (п)";"1769932";"Северо-Западный административный округ";"район Митино";"станция метро «Митино»";"2014";"построен";"метро";"";"{type=Point, coordinates=[37.359942999769, 55.846657000107]}";
"44";"Транспортно-пересадочный узел «Октябрьское поле» (п)";"1769933";"Северо-Западный административный округ";"район Щукино";"станция метро «Октябрьское поле»";"2014";"построен";"метро; перехватывающая парковка";"400";"{type=Point, coordinates=[37.494335962703, 55.792884532481]}";
"45";"Транспортно-пересадочный узел «Планерная» (п)";"1769934";"Северо-Западный административный округ";"район Северное Тушино";"станция метро «Планерная»";"2014";"построен";"метро; перехватывающая парковка";"30";"{type=Point, coordinates=[37.435040402213, 55.863947802316]}";
"46";"Транспортно-пересадочный узел «Покровское-Стрешнево» (п)";"1769935";"Северо-Западный административный округ";"район Покровское-Стрешнево";"платформа «Покровское-Стрешнево»";"2014";"проект";"пригородная железная дорога";"";"{type=Point, coordinates=[37.476555315433, 55.814201538489]}";
"6";"Транспортно-пересадочный узел «Вешняки» (п)";"1769937";"Юго-Восточный административный округ";"Рязанский район";"платформа «Вешняки»";"2014";"построен";"пригородная железная дорога";"";"{type=Point, coordinates=[37.797601208164, 55.72252412809]}";
"16";"Транспортно-пересадочный узел «Багратионовская» (п)";"1769938";"Западный административный округ";"район Филёвский Парк";"станция метро «Багратионовская»";"2014";"построен";"метро";"430";"{type=Point, coordinates=[37.498054504685, 55.743911691524]}";
"17";"Транспортно-пересадочный узел «Крылатское» (п)";"1769939";"Западный административный округ";"район Крылатское";"станция метро «Крылатское»";"2014";"построен";"метро; перехватывающая парковка";"350";"{type=Point, coordinates=[37.408081000238, 55.756835999936]}";
"19";"Транспортно-пересадочный узел «Переделкино» (п)";"1769941";"Западный административный округ";"район Ново-Переделкино";"платформа «Переделкино»";"2014";"построен";"пригородная железная дорога; перехватывающая парковка";"55";"{type=Point, coordinates=[37.35309511451, 55.65593920469]}";
"20";"Транспортно-пересадочный узел «Алабушево» (п)";"1769942";"Зеленоградский административный округ";"район Силино";"платформа «Алабушево»";"2014";"проект";"пригородная железная дорога";"";"{type=Point, coordinates=[37.1399527786, 56.008723123693]}";
"47";"Транспортно-пересадочный узел «Пролетарская» (п)";"1769943";"Центральный административный округ";"Таганский район";"станция метро «Пролетарская»";"2014";"построен";"метро";"41";"{type=Point, coordinates=[37.667178511325, 55.732565434973]}";
"48";"Транспортно-пересадочный узел «Проспект Мира» (п)";"1769944";"Центральный административный округ";"Мещанский район";"станция метро «Проспект Мира»";"2014";"построен";"метро";"30";"{type=Point, coordinates=[37.633023261665, 55.780685060218]}";
"49";"Транспортно-пересадочный узел «Рижская» (п) (1)";"1769945";"Центральный административный округ";"Мещанский район";"платформа «Рижская»";"2014";"построен";"Станция железной дороги";"";"{type=Point, coordinates=[37.63688564279, 55.795407013829]}";
"50";"Транспортно-пересадочный узел «Рижская» (к)";"1769946";"Центральный административный округ";"Мещанский район";"станция метро «Рижская»";"2019";"проект";"Метро; станция железной дороги";"107";"{type=Point, coordinates=[37.636746167664, 55.792662715799]}";
"51";"Транспортно-пересадочный узел «Рижская» (п) (2)";"1769947";"Центральный административный округ";"Мещанский район";"станция метро «Рижская»";"2018";"проект";"Метро; станция железной дороги";"";"{type=Point, coordinates=[37.634989000086, 55.792487000145]}";
