"ID";"TPUName";"global_id";"AdmArea";"District";"NearStation";"YearOfComissioning";"Status";"AvailableTransfer";"CarCapacity";"geoData";
"205";"Транспортно-пересадочный узел «Тропарево» (к)";"1770060";"Юго-Западный административный округ";"район Тёплый Стан";"станция метро «Тропарево»";"2019";"проект";"метро";"";"{type=Point, coordinates=[37.481265999935, 55.648565999802]}";
"208";"Транспортно-пересадочный узел «Лермонтовский проспект» (к)";"1770063";"Юго-Восточный административный округ";"район Выхино-Жулебино";"станция метро «Лермонтовский проспект»";"2020";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.852262999703, 55.701138999929]}";
"209";"Транспортно-пересадочный узел «Лефортово» (к)";"1770064";"Юго-Восточный административный округ";"район Лефортово";"станция метро «Лефортово»";"2020";"проект";"метро";"";"{type=Point, coordinates=[37.704263000039, 55.764428999797]}";
"210";"Транспортно-пересадочный узел «Спартак»";"1770065";"Северо-Западный административный округ";"район Покровское-Стрешнево";"станция метро «Спартак»";"2015";"проект";"метро";"";"{type=Point, coordinates=[37.437084000314, 55.822367999858]}";
"254";"Транспортно-пересадочный узел «Маленковская» (п)";"1770066";"Северо-Восточный административный округ";"Алексеевский район";"платформа «Маленковская»";"2020";"проект";"пригородная железная дорога";"";"{type=Point, coordinates=[37.662908000414, 55.814297999979]}";
"255";"Транспортно-пересадочный узел «Речной вокзал» (п)";"1770067";"Северный административный округ";"район Левобережный";"станция метро «Речной вокзал»";"2014";"построен";"метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.475951999702, 55.854925999759]}";
"211";"Транспортно-пересадочный узел «Лесопарковая» (к)";"1770068";"Южный административный округ";"район Чертаново Южное";"станция метро «Лесопарковая»";"2018";"проект";"Метро";"";"{type=Point, coordinates=[37.583741999589, 55.581185000019]}";
"212";"Транспортно-пересадочный узел «Выхино» (к)";"1770069";"Юго-Восточный административный округ";"район Выхино-Жулебино";"станция метро «Выхино», платформа «Выхино»";"2019";"проект";"метро; перехватывающая парковка; пригородная железная дорога";"320";"{type=Point, coordinates=[37.817968999858, 55.715682000188]}";
"240";"Транспортно-пересадочный узел «Орехово» (к)";"1770070";"Южный административный округ";"район Орехово-Борисово Северное";"станция метро «Орехово»";"2018";"проект";"метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.693407999792, 55.613051000097]}";
"241";"Транспортно-пересадочный узел «Люблино» (к)";"1770071";"Юго-Восточный административный округ";"район Люблино";"станция метро «Люблино»";"2020";"проект";"Метро, перехватывающая парковка";"";"{type=Point, coordinates=[37.761952999825, 55.676299999757]}";
"242";"Транспортно-пересадочный узел «Волгоградский проспект» (к)";"1770072";"Юго-Восточный административный округ";"Южнопортовый район";"станция метро «Волгоградский проспект»";"2020";"проект";"метро";"";"{type=Point, coordinates=[37.687101999873, 55.724899999857]}";
"243";"Транспортно-пересадочный узел «Фили» (к)";"1770073";"Западный административный округ";"район Филёвский Парк";"станция метро «Фили», платформа «Фили»";"2020";"проект";"Метро; станция железной дороги";"";"{type=Point, coordinates=[37.514769999759, 55.746140999787]}";
"244";"Транспортно-пересадочный узел «Лосиноостровская» (к)";"1770074";"Северо-Восточный административный округ";"Ярославский район";"платформа «Лосиноостровская»";"2020";"проект";"Станция железной дороги";"";"{type=Point, coordinates=[37.683155000144, 55.862674000045]}";
"245";"Транспортно-пересадочный узел «Новогиреево» (2)";"1770075";"Восточный административный округ";"район Новогиреево";"платформа «Новогиреево»";"2020";"проект";"пригородная железная дорога";"";"{type=Point, coordinates=[37.818543999793, 55.744461999748]}";
"246";"Транспортно-пересадочный узел «Бирюлево-Пассажирская» (к)";"1770076";"Южный административный округ";"район Бирюлёво Западное";"платформа «Бирюлево-Пассажирская»";"2020";"проект";"пригородная железная дорога";"";"{type=Point, coordinates=[37.659601000019, 55.583054999792]}";
"247";"Транспортно-пересадочный узел «Филевский парк» (к)";"1770077";"Западный административный округ";"район Фили-Давыдково";"станция метро «Филёвский парк»";"2020";"проект";"метро";"";"{type=Point, coordinates=[37.483328000025, 55.73951899988]}";
"248";"Транспортно-пересадочный узел «Бирюлево-Товарная» (к)";"1770078";"Южный административный округ";"район Бирюлёво Западное";"платформа «Бирюлево-Товарная»";"2020";"проект";"пригородная железная дорога";"";"{type=Point, coordinates=[37.653788999844, 55.592866000245]}";
"249";"Транспортно-пересадочный узел «Матвеевское» (п)";"1770079";"Западный административный округ";"район Очаково-Матвеевское";"платформа «Матвеевская»";"2020";"проект";"пригородная железная дорога";"";"{type=Point, coordinates=[37.481799999862, 55.70465600016]}";
"250";"Транспортно-пересадочный узел «Пионерская» (к)";"1770080";"Западный административный округ";"район Фили-Давыдково";"станция метро «Пионерская»";"2020";"проект";"метро; перехватывающая парковка";"130";"{type=Point, coordinates=[37.467078000253, 55.735986000038]}";
"251";"Транспортно-пересадочный узел «Дегунино» (п)";"1770081";"Северо-Восточный административный округ";"район Отрадное";"платформа «Дегунино»";"2020";"проект";"пригородная железная дорога";"";"{type=Point, coordinates=[37.573207999733, 55.865842000143]}";
"252";"Транспортно-пересадочный узел «Очаково 1» (п)";"1770082";"Западный административный округ";"район Очаково-Матвеевское";"платформа «Очаково»";"2021";"проект";"пригородная железная дорога";"";"{type=Point, coordinates=[37.450719999628, 55.683464000034]}";
"253";"Транспортно-пересадочный узел «Ховрино» (к) (2)";"1770083";"Северный административный округ";"район Ховрино";"платформа «Ховрино»";"2020";"проект";"Станция железной дороги";"";"{type=Point, coordinates=[37.50988900007, 55.869577999972]}";
"257";"Транспортно-пересадочный узел «Алтуфьево» (п)";"1770085";"Северо-Восточный административный округ";"район Бибирево";"станция метро «Алтуфьево»";"2014";"построен";"метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.587086999618, 55.898327000101]}";
"258";"Транспортно-пересадочный узел «Войковская» (п)";"1770086";"Северный административный округ";"Войковский район";"станция метро «Войковская»";"2014";"построен";"метро; перехватывающая парковка; московская кольцевая железная дорога; пригородная железная дорога";"";"{type=Point, coordinates=[37.497555000065, 55.819417000113]}";
"259";"Транспортно-пересадочный узел «ВДНХ» (п)";"1770087";"Северо-Восточный административный округ";"Алексеевский район";"станция метро «ВДНХ»";"2014";"построен";"метро; перехватывающая парковка; автовокзал";"";"{type=Point, coordinates=[37.6422060004, 55.821351000212]}";
"263";"Транспортно-пересадочный узел «Щукинская» (п)";"1770091";"Северо-Западный административный округ";"район Щукино";"станция метро «Щукинская»";"2014";"построен";"метро";"";"{type=Point, coordinates=[37.462569999934, 55.809646999951]}";
"265";"Транспортно-пересадочный узел «Перово» (п) (2)";"1770093";"Восточный административный округ";"район Перово";"станция метро «Перово»";"2014";"построен";"метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.786157000227, 55.751283000012]}";
"267";"Транспортно-пересадочный узел «Люблино» (п) (1)";"1770094";"Юго-Восточный административный округ";"район Люблино";"станция метро «Люблино»";"2014";"построен";"метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.762389999668, 55.676810000192]}";
"268";"Транспортно-пересадочный узел «Филевский парк» (п)";"1770095";"Западный административный округ";"район Филёвский Парк";"станция метро «Филёвский парк»";"2014";"построен";"метро";"";"{type=Point, coordinates=[37.4835099996, 55.739469000094]}";
"170";"Транспортно-пересадочный узел «ВДНХ» (к)";"1770096";"Северо-Восточный административный округ";"Останкинский район";"станция метро «ВДНХ»";"2018";"проект";"Метро; перехватывающая парковка";"400";"{type=Point, coordinates=[37.641135000172, 55.821047000177]}";
"171";"Транспортно-пересадочный узел «Новокосино» (к)";"1770097";"Восточный административный округ";"район Новокосино";"станция метро «Новокосино»";"2018";"проект";"метро; перехватывающая парковка";"3400";"{type=Point, coordinates=[37.864524999738, 55.70822699995]}";
"174";"Транспортно-пересадочный узел «Саларьево»";"1770099";"Западный административный округ";"район Солнцево";"станция метро «Саларьево»";"2017";"проект";"метро; перехватывающая парковка; автовокзал";"3800";"{type=Point, coordinates=[37.419518000092, 55.62324499981]}";
"176";"Транспортно-пересадочный узел «Некрасовка» (к)";"1770101";"Юго-Восточный административный округ";"район Некрасовка";"станция метро «Некрасовка»";"2018";"проект";"метро";"";"{type=Point, coordinates=[37.927844000299, 55.704647000061]}";
"178";"Транспортно-пересадочный узел «Дегунино» (к)";"1770103";"Северный административный округ";"Дмитровский район";"станция метро «Дегунино»";"2020";"проект";"метро; перехватывающая парковка";"470";"{type=Point, coordinates=[37.543963999632, 55.888288999823]}";
"179";"Транспортно-пересадочный узел «Севастопольский проспект» (к) (2)";"1770104";"Южный административный округ";"Донской район";"станция метро «Севастопольский проспект»";"2020";"проект";"метро";"";"{type=Point, coordinates=[37.605518000204, 55.690039000041]}";
"181";"Транспортно-пересадочный узел «Технопарк» (к)";"1770106";"Южный административный округ";"Даниловский район";"станция метро «Технопарк»";"2020";"проект";"метро";"";"{type=Point, coordinates=[37.66538600043, 55.689852999913]}";
"182";"Транспортно-пересадочный узел «Котельники» (к)";"1770107";"Юго-Восточный административный округ";"район Выхино-Жулебино";"станция метро «Котельники»";"2019";"проект";"Метро; перехватывающая парковка; автовокзал";"";"{type=Point, coordinates=[37.856495999662, 55.675707999855]}";
"185";"Транспортно-пересадочный узел «Аминьевское шоссе» (к)";"1770110";"Западный административный округ";"район Очаково-Матвеевское";"станция метро «Аминьевское шоссе»";"2019";"проект";"Метро; автовокзал";"";"{type=Point, coordinates=[37.466376000096, 55.694678999929]}";
"271";"Транспортно-пересадочный узел «Академическая» (к)";"170429968";"Юго-Западный административный округ";"Академический район";"станция метро «Академическая»";"2018";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.57341500032, 55.687737000079]}";
"273";"Транспортно-пересадочный узел «Аэропорт» (к)";"170429970";"Северный административный округ";"район Аэропорт";"станция метро «Аэропорт»";"2018";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.532633999907, 55.800417999959]}";
"275";"Транспортно-пересадочный узел «Беговая» (к)";"170429972";"Северный административный округ";"Хорошёвский район";"станция метро «Беговая»";"2018";"проект";"Метро; станция железной дороги";"";"{type=Point, coordinates=[37.545581000381, 55.773469000023]}";
"276";"Транспортно-пересадочный узел «Беляево» (к)";"170429973";"Юго-Западный административный округ";"район Коньково";"станция метро «Беляево»";"2018";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.526114999552, 55.64235699989]}";
"277";"Транспортно-пересадочный узел «Бибирево» (к)";"170429974";"Северо-Восточный административный округ";"район Бибирево";"станция метро «Бибирево»";"2018";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.603010999875, 55.883868000228]}";
"278";"Транспортно-пересадочный узел «Борисово» (к)";"170429975";"Южный административный округ";"район Братеево";"станция метро «Борисово»";"2018";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.74381300039, 55.63358200007]}";
"279";"Транспортно-пересадочный узел «Братиславская» (к)";"170429976";"Юго-Восточный административный округ";"район Марьино";"станция метро «Братиславская»";"2018";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.750450999673, 55.659403999886]}";
"280";"Транспортно-пересадочный узел «Бульвар адмирала Ушакова» (к)";"170429977";"Юго-Западный административный округ";"район Южное Бутово";"станция метро «Бульвар адмирала Ушакова»";"2018";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.543218999817, 55.545406000139]}";
"281";"Транспортно-пересадочный узел «Бульвар Дмитрия Донского» (к)";"170429978";"Юго-Западный административный округ";"район Северное Бутово";"станция метро «Бульвар Дмитрия Донского»";"2020";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.577346000156, 55.569666999981]}";
"282";"Транспортно-пересадочный узел «Бунинская аллея» (к)";"170429979";"Юго-Западный административный округ";"район Южное Бутово";"станция метро «Бунинская аллея»";"2018";"проект";"Метро";"";"{type=Point, coordinates=[55.537964000223, 37.515919000204]}";
"284";"Транспортно-пересадочный узел «Домодедовская» (к)";"170429981";"Южный административный округ";"район Орехово-Борисово Южное";"станция метро «Домодедовская»";"2020";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.717905000098, 55.610697000093]}";
"285";"Транспортно-пересадочный узел «Дубровка» (к) (1)";"170429982";"Юго-Восточный административный округ";"Южнопортовый район";"станция метро «Дубровка»";"2018";"проект";"Метро";"";"{type=Point, coordinates=[37.676240999779, 55.718069999862]}";
"286";"Транспортно-пересадочный узел «Жулебино» (к)";"170429983";"Юго-Восточный административный округ";"район Выхино-Жулебино";"станция метро «Жулебино»";"2020";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.855087000224, 55.684493000077]}";
"287";"Транспортно-пересадочный узел «Измайловская» (к)";"170429984";"Восточный административный округ";"район Измайлово";"станция метро «Измайловская»";"2018";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.781380000295, 55.787745999802]}";
"288";"Транспортно-пересадочный узел «Кантемировская» (к)";"170429985";"Южный административный округ";"район Царицыно";"станция метро «Кантемировская»";"2018";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.656218000355, 55.636107000131]}";
"289";"Транспортно-пересадочный узел «Каширская» (к)";"170429986";"Южный административный округ";"район Нагатино-Садовники";"станция метро «Каширская»";"2018";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.649256000309, 55.655411999959]}";
"290";"Транспортно-пересадочный узел «Кожуховская» (к)";"170429987";"Юго-Восточный административный округ";"Южнопортовый район";"станция метро «Кожуховская»";"2018";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.685683000389, 55.706319999845]}";
"291";"Транспортно-пересадочный узел «Коломенская» (к)";"170429988";"Южный административный округ";"район Нагатинский Затон";"станция метро «Коломенская»";"2020";"проект";"Метро";"";"{type=Point, coordinates=[37.663827000306, 55.678406999956]}";
"294";"Транспортно-пересадочный узел «Митино» (к)";"170429991";"Северо-Западный административный округ";"район Митино";"станция метро «Митино»";"2018";"проект";"Метро";"";"{type=Point, coordinates=[37.362153999822, 55.845734000071]}";
"295";"Транспортно-пересадочный узел «Нагорная» (к)";"170429992";"Южный административный округ";"Нагорный район";"станция метро «Нагорная»";"2018";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.610745000398, 55.672853999773]}";
"296";"Транспортно-пересадочный узел «Нахимовский проспект» (к)";"170429993";"Юго-Западный административный округ";"район Зюзино";"станция метро «Нахимовский проспект»";"2018";"проект";"Метро";"";"{type=Point, coordinates=[37.604457999847, 55.661714999816]}";
"297";"Транспортно-пересадочный узел «Новогиреево» (к)";"170429994";"Восточный административный округ";"район Новогиреево";"станция метро «Новогиреево»";"2020";"проект";"Метро";"";"{type=Point, coordinates=[37.817168999792, 55.751660000081]}";
"300";"Транспортно-пересадочный узел «Профсоюзная» (к)";"170429997";"Юго-Западный административный округ";"Академический район";"станция метро «Профсоюзная»";"2018";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.562873999893, 55.677930000228]}";
"301";"Транспортно-пересадочный узел «Свиблово» (к)";"170429998";"Северо-Восточный административный округ";"район Свиблово";"станция метро «Свиблово»";"2018";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.652238000115, 55.855224000125]}";
"303";"Транспортно-пересадочный узел «Строгино» (к)";"170430000";"Северо-Западный административный округ";"район Строгино";"станция метро «Строгино»";"2018";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.403117999634, 55.803690999859]}";
"304";"Транспортно-пересадочный узел «Тульская» (к)";"170430001";"Южный административный округ";"Даниловский район";"станция метро «Тульская»";"2020";"проект";"Метро";"";"{type=Point, coordinates=[37.622612000423, 55.708841000176]}";
"306";"Транспортно-пересадочный узел «Улица Горчакова» (к)";"170430003";"Юго-Западный административный округ";"район Южное Бутово";"станция метро «Улица Горчакова»";"2018";"проект";"Метро";"";"{type=Point, coordinates=[37.531226000294, 55.54182499988]}";
"307";"Транспортно-пересадочный узел «Чертановская» (к)";"170430004";"Южный административный округ";"район Чертаново Северное";"станция метро «Чертановская»";"2018";"проект";"Метро";"";"{type=Point, coordinates=[37.606073999873, 55.640538000076]}";
"308";"Транспортно-пересадочный узел «Шипиловская» (к)";"170430005";"Южный административный округ";"район Зябликово";"станция метро «Шипиловская»";"2018";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.743749999743, 55.620733000047]}";
"309";"Транспортно-пересадочный узел «Юго-Западная» (к)";"170430006";"Западный административный округ";"район Тропарёво-Никулино";"станция метро «Юго-Западная»";"2020";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.482851999824, 55.663146000081]}";
"310";"Транспортно-пересадочный узел «Южная» (к)";"170430007";"Южный административный округ";"район Чертаново Северное";"станция метро «Южная»";"2018";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.609047000357, 55.62243599996]}";
"311";"Транспортно-пересадочный узел «Боровское шоссе» (к)";"170430008";"Западный административный округ";"район Ново-Переделкино";"станция метро «Боровское шоссе»";"2018";"проект";"Метро";"";"{type=Point, coordinates=[37.371198999873, 55.648719000204]}";
"314";"Транспортно-пересадочный узел «Долгопрудная» (к)";"170430011";"Северо-Восточный административный округ";"район Северный";"платформа «Долгопрудная»";"2020";"проект";"Станция железной дороги, перехватывающая парковка";"";"{type=Point, coordinates=[37.52054915124, 55.938808267157]}";
"316";"Транспортно-пересадочный узел «Коммунарка» (к)";"170430013";"Троицкий административный округ";"поселение Краснопахорское";"станция метро «Коммунарка»";"2019";"проект";"Метро";"";"{type=Point, coordinates=[37.467903000433, 55.576573000251]}";
"317";"Транспортно-пересадочный узел «Красный строитель» (к)";"170430014";"Южный административный округ";"район Чертаново Южное";"платформа «Красный строитель»";"2020";"проект";"Станция железной дороги";"";"{type=Point, coordinates=[37.614360999691, 55.589302000081]}";
"318";"Транспортно-пересадочный узел «Лухмановская» (к)";"170430015";"Восточный административный округ";"район Косино-Ухтомский";"станция метро «Лухмановская»";"2019";"проект";"Метро; перехватывающая парковка; автовокзал";"";"{type=Point, coordinates=[37.912669000055, 55.689877000143]}";
"321";"Транспортно-пересадочный узел «Мневники» (к)";"170430018";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"станция метро «Мневники»";"2019";"проект";"Метро";"";"{type=Point, coordinates=[37.470373999879, 55.762761999863]}";
"323";"Транспортно-пересадочный узел «Озерная» (к)";"170430020";"Западный административный округ";"район Очаково-Матвеевское";"станция метро «Озёрная»";"2019";"строится";"Метро";"";"{type=Point, coordinates=[37.449102999777, 55.670417999943]}";
"324";"Транспортно-пересадочный узел «Павелецкий» (к)";"170430021";"Центральный административный округ";"район Замоскворечье";"Павелецкий вокзал";"2020";"проект";"Станция железной дороги; перехватывающая парковка";"";"{type=Point, coordinates=[37.640560000237, 55.729802000187]}";
"325";"Транспортно-пересадочный узел «Парк Победы» (к)";"170430022";"Западный административный округ";"район Дорогомилово";"станция метро «Парк Победы»";"2019";"построен";"Метро";"";"{type=Point, coordinates=[37.515184000036, 55.736871999885]}";
"326";"Транспортно-пересадочный узел «Печатники» (к)";"170430023";"Юго-Восточный административный округ";"район Печатники";"станция метро «Печатники»";"2018";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.727549594161, 55.693036631003]}";
"330";"Транспортно-пересадочный узел «Столбово» (к)";"170430027";"Троицкий административный округ";"поселение Роговское";"станция метро «Столбово»";"2019";"проект";"Метро";"";"{type=Point, coordinates=[37.46565899987, 55.561275999992]}";
"331";"Транспортно-пересадочный узел «Терехово» (к)";"170430028";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"станция метро «Терехово»";"2019";"проект";"Метро";"";"{type=Point, coordinates=[37.456028000013, 55.74999799993]}";
"333";"Транспортно-пересадочный узел «Улица Академика Опарина» (к)";"170430030";"Юго-Западный административный округ";"район Коньково";"станция метро «Улица Академика Опарина»";"2019";"проект";"Метро";"";"{type=Point, coordinates=[37.508767999613, 55.649120999904]}";
"334";"Транспортно-пересадочный узел «Улица генерала Тюленева» (к)";"170430031";"Юго-Западный административный округ";"район Тёплый Стан";"станция метро «Улица генерала Тюленева»";"2019";"проект";"Метро";"";"{type=Point, coordinates=[37.486161999693, 55.625953000112]}";
"335";"Транспортно-пересадочный узел «Улица Минская» (к)";"170430032";"Западный административный округ";"район Очаково-Матвеевское";"станция метро «Улица Минская»";"2020";"проект";"Метро";"";"{type=Point, coordinates=[37.49398200043, 55.727673000007]}";
"337";"Транспортно-пересадочный узел «Ховрино» (к) (1)";"170430034";"Северный административный округ";"район Ховрино";"станция метро «Ховрино»";"2018";"проект";"Метро; перехватывающая парковка; автовокзал";"";"{type=Point, coordinates=[37.481897999772, 55.879231999923]}";
"338";"Транспортно-пересадочный узел «Юго-Восточная» (к)";"170430035";"Юго-Восточный административный округ";"район Выхино-Жулебино";"станция метро «Юго-Восточная»";"2018";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.815371000191, 55.706231000205]}";
"339";"Транспортно-пересадочный узел «Белорусский» (к)";"170430036";"Центральный административный округ";"Тверской район";"Белорусский вокзал";"2020";"проект";"Станция железной дороги; перехватывающая парковка";"";"{type=Point, coordinates=[37.58183100001, 55.776841999905]}";
"340";"Транспортно-пересадочный узел «Курская» (к)";"170430037";"Центральный административный округ";"Басманный район";"станция метро «Курская»";"2020";"проект";"Метро; станция железной дороги";"";"{type=Point, coordinates=[37.660852999997, 55.757398999954]}";
"341";"Транспортно-пересадочный узел «Лианозово» (к)";"170430038";"Северо-Восточный административный округ";"район Лианозово";"платформа «Лианозово»";"2020";"проект";"Станция железной дороги";"";"{type=Point, coordinates=[37.55345999977, 55.897235999847]}";
"342";"Транспортно-пересадочный узел «Лось» (к)";"170430039";"Северо-Восточный административный округ";"Лосиноостровский район";"платформа «Лось»";"2020";"проект";"Станция железной дороги";"";"{type=Point, coordinates=[37.711041999787, 55.880293000144]}";
"343";"Транспортно-пересадочный узел «Ивановское» (к)";"170430040";"Восточный административный округ";"район Ивановское";"автостанция";"2020";"проект";"Ускоренный трамвай; перехватывающая парковка";"";"{type=Point, coordinates=[37.83831500022, 55.775925000171]}";
"344";"Транспортно-пересадочный узел «Северный» (к)";"170430041";"Северо-Восточный административный округ";"район Северный";"автостанция";"2020";"проект";"Ускоренный трамвай; перехватывающая парковка";"";"{type=Point, coordinates=[37.541285999599, 55.9506140002]}";
"345";"Транспортно-пересадочный узел «Холмогорская» (к)";"170430042";"Северо-Восточный административный округ";"Лосиноостровский район";"автостанция";"2020";"проект";"Ускоренный трамвай; перехватывающая парковка";"";"{type=Point, coordinates=[37.718156999993, 55.880737999829]}";
"348";"Транспортно-пересадочный узел «Саларьево» (к)";"170430045";"Западный административный округ";"район Раменки";"станция метро «Мичуринский проспект»";"2018";"проект";"Метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.481788000167, 55.688407999747]}";
"349";"Транспортно-пересадочный узел «Солнечная» (к)";"860862615";"Западный административный округ";"район Солнцево";"платформа «Солнечная»";"2017";"построен";"Железнодорожная станция Киевского направления Московской железной дороги";"30";"{type=Point, coordinates=[37.38351, 55.65634]}";
